Px 	Py 	Vx 	Vy 	Px_rmse 	Py_rmse 	Vx_rmse 	Vy_rmse 	NIS 	Yaw 	Yaw Rate 	SensorType
0.312243	0.58034	0	0	0.287757	0.0196602	5.19994	0	9.32067e-314	0	0	0
0.735292	0.629424	7.20493	-3.11439e-16	0.221761	0.0249965	3.94082	0.00127057	74.6446	-4.32257e-17	-5.35702e-17	1
1.1605	0.49494	7.1498	-0.914274	0.182572	0.064121	3.40901	0.530969	74.6446	-0.127184	-0.0118688	0
1.25799	0.533093	7.13915	0.880058	0.169464	0.0649915	3.10758	0.632738	1.82505	0.122653	0.0307136	1
1.61584	0.595357	7.11294	1.15884	0.151955	0.0581918	2.9084	0.761978	1.82505	0.161502	0.0463963	0
1.85112	0.56196	6.00597	0.153949	0.140133	0.0556364	2.67542	0.697517	7.66154	0.0256271	-0.234011	1
2.16288	0.591356	6.00274	0.241859	0.129743	0.0517335	2.49562	0.65037	7.66154	0.0402697	-0.178005	0
2.37876	0.637349	5.59282	0.316328	0.122217	0.049623	2.33865	0.615596	6.22704	0.0564996	-0.338651	1
2.65588	0.654514	5.59355	0.253318	0.115492	0.0491675	2.20891	0.58379	6.22704	0.0452566	-0.317229	0
2.92235	0.648156	5.53356	-0.0126129	0.109692	0.0479667	2.09832	0.554617	0.401544	-0.00227934	-0.469376	1
3.15809	0.643866	5.48853	-0.0857231	0.105302	0.0464323	2.00268	0.531717	0.401544	-0.0156173	-0.434828	0
3.4437	0.539844	5.4481	-0.903703	0.100906	0.0504797	1.91887	0.588373	1.27296	-0.164378	-0.85115	1
3.74681	0.427354	5.36653	-1.56548	0.0972826	0.0740542	1.84426	0.737011	1.27296	-0.283836	-1.07537	0
4.02757	0.511918	5.49248	-0.806266	0.09471	0.0787673	1.77907	0.755946	4.15138	-0.145754	-0.545195	1
4.30141	0.504041	5.47975	-0.763663	0.0930293	0.0844024	1.72045	0.77051	4.15138	-0.138469	-0.461251	0
4.56185	0.540536	5.42059	-0.5292	0.0915932	0.0866288	1.66691	0.768846	2.05938	-0.0973194	-0.322611	1
4.75089	0.647775	5.28059	0.0244792	0.0888625	0.0841704	1.61734	0.747764	2.05938	0.00463566	-0.0729914	0
5.00292	0.646679	5.21062	-0.0193733	0.0863925	0.0821707	1.5718	0.729948	1.85201	-0.00371802	-0.0853412	1
5.30308	0.643656	5.26271	-0.0552139	0.084395	0.0808164	1.53003	0.715254	1.85201	-0.0104912	-0.0901007	0
5.56114	0.651461	5.28586	-0.0223929	0.0825499	0.0798612	1.49153	0.701782	1.74634	-0.00423635	-0.0679265	1
5.85441	0.668094	5.32064	0.0237999	0.0818429	0.0790279	1.45601	0.689095	1.74634	0.00447309	-0.0468646	0
6.09718	0.593326	5.2454	-0.273955	0.0806973	0.0839287	1.42267	0.688853	3.6773	-0.0521802	-0.143037	1
6.35229	0.709297	5.22384	0.144638	0.0795687	0.0830257	1.39149	0.676679	3.6773	0.0276809	0.000840736	0
6.6028	0.741371	5.18075	0.22324	0.0783569	0.0819455	1.36222	0.664637	0.608693	0.0430636	0.0242789	1
6.84974	0.740116	5.1684	0.189951	0.0770344	0.0817865	1.33471	0.654751	0.608693	0.0367357	0.0124845	0
7.09323	0.722283	5.08954	0.0940974	0.0756259	0.0837642	1.30881	0.648877	2.97449	0.0184863	-0.0207243	1
7.31275	0.809811	5.03074	0.346916	0.0742944	0.0831611	1.28446	0.638883	2.97449	0.0688502	0.0591181	0
7.60379	0.821309	5.13642	0.349337	0.0730273	0.0832693	1.26132	0.630192	4.37785	0.0679072	0.0544199	1
7.85368	0.798204	5.13432	0.239265	0.0717899	0.0860614	1.2394	0.625435	4.37785	0.0465673	0.0177544	0
8.10362	0.815535	5.07784	0.250336	0.0705943	0.0897092	1.21857	0.621975	2.35604	0.0492599	0.0179182	1
8.34059	0.834128	5.05555	0.274718	0.0694717	0.0942361	1.19876	0.619448	2.35604	0.0542865	0.0244325	0
8.60776	0.930067	5.12365	0.540356	0.0683797	0.0955583	1.17993	0.612391	6.91382	0.105075	0.103128	1
8.84426	0.992072	5.08503	0.670859	0.0673767	0.0961213	1.16193	0.604586	6.91382	0.131171	0.135338	0
9.13253	1.03316	5.13722	0.723451	0.0664898	0.0968685	1.14484	0.59718	6.73197	0.139905	0.137341	1
9.36944	1.0655	5.10817	0.74704	0.065546	0.0982321	1.12846	0.590538	6.73197	0.145215	0.135442	0
9.64696	1.14499	5.13779	0.904556	0.0648832	0.0985856	1.11289	0.583087	4.39935	0.174273	0.168472	1
9.9178	1.2808	5.10815	1.21384	0.0646418	0.0973724	1.09792	0.575256	4.39935	0.233301	0.244689	0
10.1642	1.38624	5.00483	1.40932	0.0643537	0.0961182	1.08339	0.568571	4.33705	0.274485	0.29374	1
10.3887	1.46404	4.94634	1.5018	0.0636916	0.0950157	1.06941	0.562459	4.33705	0.294773	0.303115	0
10.6181	1.5665	4.81335	1.66142	0.062915	0.0944581	1.05612	0.557806	3.60133	0.332365	0.346437	1
10.846	1.58309	4.80863	1.55459	0.0621526	0.0933396	1.04328	0.551511	3.60133	0.312685	0.292098	0
11.1115	1.63525	4.85857	1.53845	0.0614443	0.0922221	1.03079	0.545033	2.19318	0.306659	0.25744	1
11.3931	1.66719	4.91564	1.45787	0.0612308	0.0913969	1.01877	0.538766	2.19318	0.288313	0.209913	0
11.6242	1.72808	4.86258	1.47756	0.0608325	0.090832	1.00714	0.532905	0.909102	0.294997	0.207314	1
11.8553	1.78557	4.83911	1.48167	0.0603209	0.0907248	0.995896	0.527648	0.909102	0.297123	0.195421	0
12.1097	1.87928	4.87276	1.57477	0.0600292	0.0904506	0.985115	0.522401	1.34942	0.312584	0.199021	1
12.3558	1.89422	4.88881	1.43782	0.059887	0.0921402	0.974804	0.519546	1.34942	0.28604	0.145183	0
12.6122	1.95172	4.93861	1.42258	0.0601843	0.0950071	0.965148	0.518207	1.00575	0.28046	0.121729	1
12.8101	2.09397	4.83136	1.66817	0.0597852	0.0960859	0.955499	0.514412	1.00575	0.332464	0.189845	0
13.0757	2.20255	4.89555	1.76678	0.0599665	0.0968491	0.946572	0.51047	3.4276	0.346349	0.187361	1
13.2775	2.34783	4.78535	1.98253	0.0596224	0.0966526	0.937586	0.505664	3.4276	0.392765	0.242218	0
13.4532	2.5131	4.55411	2.24864	0.0590827	0.0957939	0.928528	0.500919	10.3389	0.458644	0.335404	1
13.7042	2.61751	4.5601	2.29248	0.0585347	0.0949942	0.91974	0.496229	10.3389	0.465826	0.320771	0
13.9225	2.73736	4.49713	2.38036	0.0579906	0.0941819	0.911186	0.491703	0.146004	0.486818	0.330559	1
14.151	2.88552	4.44453	2.52524	0.0574692	0.0933231	0.902866	0.487574	0.146004	0.516684	0.349297	0
14.4027	2.98968	4.52653	2.50913	0.0571812	0.0925033	0.894955	0.483243	1.70947	0.506152	0.293554	1
14.6136	3.04979	4.51214	2.40504	0.0568222	0.0922721	0.887359	0.479301	1.70947	0.489709	0.250292	0
14.8436	3.20529	4.50907	2.53974	0.0566346	0.0917227	0.880146	0.475244	3.68411	0.512959	0.256393	1
15.0492	3.40019	4.39851	2.77891	0.0563589	0.0909531	0.872907	0.471352	3.68411	0.563463	0.310309	0
15.2573	3.57533	4.27731	2.95019	0.0560649	0.0904199	0.865688	0.468035	2.37049	0.603799	0.354277	1
15.471	3.75887	4.19757	3.1117	0.0558427	0.0904653	0.858612	0.465505	2.37049	0.637916	0.377118	0
15.683	3.89367	4.16528	3.13202	0.0557176	0.0903661	0.851752	0.462571	1.08685	0.644738	0.359934	1
15.908	4.02724	4.15923	3.13791	0.0559837	0.0900795	0.845186	0.459273	1.08685	0.646339	0.336533	0
16.1007	4.19802	4.0127	3.26097	0.0561259	0.0900701	0.838603	0.456343	1.71886	0.682415	0.380755	1
16.2985	4.38923	3.92642	3.40042	0.0563022	0.090722	0.83215	0.453994	1.71886	0.713731	0.397568	0
